title,created_time,author_ID,author_name,intro,tags,songs_num,play_num,favored_num,forward_num,comments_num,cover_URL
更好听的蒂皮特,2020/9/9,3828454732,胡大水,"古典精选：精选更好听的古典音乐。
蒂皮特（Michael Tipet，1905—1998），英国作曲家。
蒂皮特在音乐历史中最重要的音乐创作是清唱剧、交响曲、管弦乐作品等，歌单主要精选了其中更好听的代表性作品。欢迎聆听和分享！
更多关于作曲家的生平与创作的分享，欢迎关注专栏《古典音乐笔记本》。
歌单曲目目录：
1：清唱剧《我们时代的孩子》（片段）。
2—3：管弦乐作品《双弦乐队协奏曲》（片段）。
","['古典', '驾车', '经典']",5,494,78,0,1,http://p3.music.126.net/2_bE4FXOXnbT8rtTAI0Y_w==/109951165803264100.jpg
【陈培勋】钢琴作品及改编曲集,2020/7/25,3338600255,梅特纳的萍卡美娜,"陈培勋（1922年-2007年），又名陈宏秀，广西合浦人，中央音乐学院作曲系教授。1922年1月出生于香港。自幼在香港、上海习钢琴、管风琴和作曲。中学先短暂就读于香港华仁书院，后获音乐奖学金入读拔萃男书院。抗战爆发后，辗转于中国内地。1939年，入读上海国立音乐专科学校，师从谭小麟，深造欣德米特作曲技法。又随苏联专家亚拉波夫和古诺夫学配器。毕业后，先后在香港、曲江、重庆、上海等地任教。
建国后，","['古典', '器乐', '华语']",10,553,20,0,0,http://p4.music.126.net/j-hk72_AD9qopaYjHMQVag==/109951165168316608.jpg
The Art Of The Theremin——特雷门琴,2020/11/22,1469705410,坚强的Tom,"虽然是一些经典的音乐，但是却有些让人害怕！
不细细听感觉像女声美声唱法 但是细听后会发现听不到惯有的气流通道形成的美声发声管 这声音就是乐器所发出的声音 在广阔的环境中难以形成人声的通道口。
特雷门琴，至今依然是世上唯一不需要身体接触的电子乐器。Theremin的原理是利用天线和演奏者的手构成电容器，天线接在一个带有放大电路和扬声器的LC回路上。通过天线接受手的位置变化来发出声响。",['古典'],12,242,12,0,0,http://p4.music.126.net/_er_I8ftUPY3_zCex5cevg==/851021999952078.jpg
贾凡 双面的我 云上音乐会,2020/4/28,1435318584,不二的眯眯眼,"20200505
贾凡
双面的我
云上音乐会","['古典', '世界音乐']",18,435,30,0,1,http://p3.music.126.net/ZDMLph6-Mb-iDu6VTt7Zeg==/109951164946516716.jpg
更好听的亚那切克,2020/9/9,3828454732,胡大水,"古典精选：精选更好听的古典音乐。
亚那切克（Leos Janacek，1854—1929），捷克作曲家，捷克民族主义音乐代表人物。
亚那切克在音乐历史中最重要的音乐创作是歌剧、管弦乐作品、钢琴作品等，歌单主要精选了其中更好听的代表性作品。欢迎聆听和分享！
更多关于作曲家的生平与创作的分享，欢迎关注专栏《古典音乐笔记本》。
歌单曲目目录：
1—3：管弦乐作品（部分）。
4—6：钢琴作品（部分）。","['古典', '驾车', '经典']",6,338,75,0,0,http://p3.music.126.net/ukqIw3ZVlBgBmkGzKzXBkQ==/109951165803251650.jpg
【阿尔弗雷多·卡塞拉】钢琴作品集,2020/7/23,3338600255,梅特纳的萍卡美娜,"阿尔弗雷多·卡塞拉（意大利语：Alfredo Casella，1883年7月25日－1947年3月5日），意大利作曲家，音乐学家，钢琴家，指挥家。
代表作有歌剧《蛇女》，芭蕾音乐《坛子》，管风琴与乐队《罗马协奏曲》，管弦乐《意大利狂想曲》《帕格尼尼风格曲》，数十首钢琴小品，练习曲等。
卡塞拉的创作可以分为三个阶段。早年他虽然在法国学习，但受到德奥和俄罗斯音乐的影响更大，作品气魄宏伟，织体厚重，类","['古典', '钢琴', '器乐']",106,116,12,0,0,http://p3.music.126.net/G8xM8IpRweZ6z-rwJ1o7Qg==/109951165161675180.jpg
里赫特的肖斯塔科维奇24首前奏曲与赋格曲,2021/8/25,52358231,纳什维尔天际线,里赫特肖斯塔科维奇24首前奏曲与赋格曲分布的太零散，故作整理,['古典'],11,128,6,0,0,http://p3.music.126.net/gMASYsFNQRXsAG5FBTKCOA==/109951163298571758.jpg
贝多芬的D大调小协与D大调钢协,2021/5/14,4044375930,映山红又名白色郁金香,网易云音乐,['古典'],9,146,8,0,0,http://p4.music.126.net/3DnACtYRLWsbbqbzy-Q73w==/109951165975841240.jpg
听说可以增强记忆力,2017/11/5,340412921,威风大侠,"音乐：
罗扎诺夫高效记忆音乐、莫扎特音乐、巴洛克音乐
据科学研究说，每个人的大脑都有四个主要脑电波在运作，这四种脑电波，可用电子脑电图仪测量到。
而我们大脑的四种脑电波中最适合潜意识活动的就是α波，只有α波状态才是取得高效记忆的最好状态。
α波状态促进灵感，加快资料收集，增强记忆。只有在这种状态下，语言的记忆才能取得最佳记忆效果。
美国快速学习法先驱泰丽指出：“某些类型的音乐节奏有助于放松身体、安","['学习', '工作', '古典']",19,938442,36872,305,300,http://p3.music.126.net/GwoVmJbX2ndgOIxQXPyf2A==/19065531626213286.jpg
【古典入门】最流行古典音乐TOP100,2014/7/29,9049112,叔喬Mario,根据国外某古典音乐网站整理，附加了一个自己喜欢的乡间骑士间奏曲，在第三首。,['古典'],95,622153,15577,250,96,http://p4.music.126.net/FSf_7V8l09BmFofR0yd3rQ==/3445869448328138.jpg
