URL,title,author,album
https://music.163.com/song?id=25480736,Arioso (Adagio in G) from Cantata BWV 156 (Arr. Lloyd Webber),Julian Lloyd Webber,Baroque Adagios
https://music.163.com/song?id=1648647,Una Mattina,Ludovico Einaudi,Intouchables (La Bande Originale du Film)
https://music.163.com/song?id=32139848,Senbonzakura [SS-Extended+Bass],Lindsey Stirling,Shatter Me (Deluxe Version)
https://music.163.com/song?id=1070865,Lament,Adam Hurst,Elegy
https://music.163.com/song?id=566220804,"The Four Seasons. Four Concertos for Violin and String Orchestra (Le Quattro Stagioni), Op. 8, Concerto No. 3 in F major L´ Autunno. II. Adagio molto",Antonio Vivaldi,Vivaldi : Le Quattro stagioni
https://music.163.com/song?id=441359,"Departures -memory- (From ""Departures"" Soundtrack)",久石譲,Departures (Original Motion Picture Soundtrack)
https://music.163.com/song?id=1003873,Jag har hort om en stad ovan malnen,Iver Kleive,Til Trost
https://music.163.com/song?id=27876662,Silent Night,The Piano Guys,A Family Christmas
https://music.163.com/song?id=17249900,Attention,Monroe Products,Einstein's Dream
https://music.163.com/song?id=1060910,"Nocturne No. 1 in B Flat Minor, Op. 9, No. 1",Arthur Rubinstein,The Chopin Collection: The Nocturnes
https://music.163.com/song?id=16261392,Romanza (Trad),Aage Kvalbein,Spanske Mirakler - En Reise I Vin Og Musikk
https://music.163.com/song?id=1049192,Prelude – Act I (Carmen),André Rieu,The 100 Most Beautiful Melodies (6 CD Box Set)
https://music.163.com/song?id=1903584367,"24 Préludes, Op. 28:No. 4 in E Minor",Maria Joao Pires,Classical December with Chopin
https://music.163.com/song?id=2909239,"Su le sponde del Tebro, chamber cantata for soprano, 2 violins, trumpet & continuo: Sinfonia",Kathleen Battle,Baroque Duet
https://music.163.com/song?id=32098927,Meditation de l'opera ''Thais'' (Massenet),Total Touch,Lacrima Cristi
https://music.163.com/song?id=1380690290,Rain,Brian Crain,Piano and Violin Duet (Bonus Track Version)
https://music.163.com/song?id=401585046,"String Quartet in F minor, HIII No.35, Op.20 No.5:1. Moderato",Aeolian String Quartet,Haydn: The Complete String Quartets
https://music.163.com/song?id=422073748,"Violin Concerto in D, Op. 77:II. Adagio",Jascha Heifetz,Brahms & Tchaikovsky: Violin Concertos
https://music.163.com/song?id=5264829,The Magnificent Seven,Elmer Bernstein,惠威试音碟3
https://music.163.com/song?id=29844130,June Barcarolle Op.37 No.6,Vladimir Ashkenazy,POWER OF PIANO Steinway & Sons and Pianists
https://music.163.com/song?id=28908586,"Radetzky Marsch, Op. 228",Wiener Philharmoniker,100 Best Wiener Philharmoniker
https://music.163.com/song?id=25830134,摇篮曲,Johannes Brahms,世界著名交响乐团演奏的古典音乐系列之二 世界著名婚礼音乐
https://music.163.com/song?id=1501634,"Suite No. 1, BWV 1007, In G:Gigue",Janos Starker,Bach: Suites for Solo Cello
https://music.163.com/song?id=2283006,Forest Hymn,Bill Douglas,A Place Called Morning
https://music.163.com/song?id=5266270,幽默曲,Antonín Dvořák,心灵四季 山
https://music.163.com/song?id=16261380,Adagio Fra Concerto Di Aranjuez. Gitarkonsert Sats 2,Aage Kvalbein,Spanske Mirakler - En Reise I Vin Og Musikk
https://music.163.com/song?id=3025353,Song of the Caged Bird,Lindsey Stirling,Lindsey Stomp - EP
https://music.163.com/song?id=25640838,"Grande Valse Brillante op. 18, No. 1 in E flat Major",郎朗,The Chopin Album
https://music.163.com/song?id=470793902,Not Alone,Ólafur Arnalds,Broadchurch - The Final Chapter (Music From The Original TV Series)
https://music.163.com/song?id=1213304,Symphony No.5 In C Minor Op.67:1. Allegro con brio,Wiener Philharmoniker,Beethoven: Symphonies Nos.5 & 7
https://music.163.com/song?id=25042953,"Canon and Gigue in D Major, P. 37:I. Canon",Taverner Consort & Players,The Best of Baroque
https://music.163.com/song?id=35445814,"Piano Concerto No.27 in B flat, K.595:1. Allegro",内田光子,Mozart: Piano Concertos Nos.20 & 27
https://music.163.com/song?id=1698603,"Cello Suite No. 1 in G Major, BWV 1007:I. Prélude",马友友,"Bach: Cello Suites Nos. 1, 5 & 6"
https://music.163.com/song?id=22336125,Oblivion,John Lenehan,Essential Cello
https://music.163.com/song?id=36190692,"Valse oubliée No.2, S.215/2",Franz Liszt,"Liszt: The Complete Music for Solo Piano, Vol.1 - Waltzes"
https://music.163.com/song?id=27227411,Injected With A Poison (MNO Power Mix).,Praga Khan,Rave 'Til Dawn (Techno's Finest)
https://music.163.com/song?id=464738864,"Sinfonia concertante in E-Flat Major, K. 364:Andante",Albert Sammons,MOZART: Sinfonia Concertante / ELGAR: Violin Sonata (Sammons) (1926-1935)
https://music.163.com/song?id=997889,Waltz No. 2 from Jazz Suite No. 2,Alexandre Desplat,The Luzhin Defence (Original Film Soundtrack)
https://music.163.com/song?id=5168414,"Schwanengesang, D.957:Ständchen",Arthur Grumiaux,Ultimate Violin Classics: The Essential Masterpieces
https://music.163.com/song?id=28357886,"Concerto No. 4 in F minor, Op. 8, RV 297, ""L'inverno"" (Winter): II. Largo",Anne Akiko Meyers,The Four Seasons: The Vivaldi Album
https://music.163.com/song?id=461601181,ドヴォルザーク:交響曲第9番《新世界より》 第1楽章,佐渡 裕,ドヴォルザーク:交響曲第9番《新世界より》
https://music.163.com/song?id=18579414,Serenade,Joshua Bell,Romance of the Violin
https://music.163.com/song?id=406347384,'Hallelujah' (from 'Messiah'),Georg Friedrich Händel,The Top 100 Masterpieces of Classical Music
https://music.163.com/song?id=441351,"Ave Maria -Departures (From ""Departures"" Soundtrack)",久石譲,Departures (Original Motion Picture Soundtrack)
https://music.163.com/song?id=20952127,Fly,Ludovico Einaudi,Divenire
https://music.163.com/song?id=25729684,"Piano Sonata No.8 In C Minor, Op.13 -""Pathétique"":3. Rondo (Allegro)",Wilhelm Kempff,"Beethoven: Piano Sonatas Nos. 8, 14, 21 & 23"
https://music.163.com/song?id=27256783,"Xerxes, HWV 40:Largo (''Ombra mai fu'')",Shigeo Genda,The 99 Most Essential Pieces of Classical Music
https://music.163.com/song?id=2323584,Griselda: Agitata da Due Venti,Cecilia Bartoli,Live in Italy
https://music.163.com/song?id=502455500,Piano Concerto No.1 in E minor Op.11:1. Allegro maestoso,Claudio Arrau,Ultimate Piano Concertos
https://music.163.com/song?id=1003876,Air,Aage Kvalbein,Til Trost
https://music.163.com/song?id=2852191,"Concerto for 2 Violins, Strings, and Continuo in D minor, BWV 1043:1. Vivace",Julia Fischer, Bach: Violin Concertos
https://music.163.com/song?id=19039256,Sancta Maria,Katherine Jenkins,Rejoice
https://music.163.com/song?id=16261380,Adagio Fra Concerto Di Aranjuez. Gitarkonsert Sats 2,Aage Kvalbein,Spanske Mirakler - En Reise I Vin Og Musikk
https://music.163.com/song?id=1834551,Recuerdos de la Alhambra,Pepe Romero,Guitar Hits With Passion
https://music.163.com/song?id=22006156,"Piano Concerto No.23 in A, K.488:2. Adagio",Vladimir Horowitz,Horowitz: Complete Recordings on Deutsche Grammophon
https://music.163.com/song?id=1773378,"Suite No.3 In D, BWV 1068 (Arr. For Violoncello And Piano By Mischa Maisky):Air (Largo)",Mischa Maisky,Cellissimo
https://music.163.com/song?id=1345131241,Looking Back,Laurence Ipsum,Night
https://music.163.com/song?id=1342670,La Boutique Fantasque - Tarantella,Ernest Ansermet,The Royal Ballet
https://music.163.com/song?id=17168871,"Horn Concerto No. 1 in D Major, K.412 (1997 - Remaster):I. Allegro",Dennis Brain,Mozart: Horn Concertos Nos. 1-4; Quintet K452
https://music.163.com/song?id=4064255,A Minute For The End,Endless Melancholy,"Before, After"
https://music.163.com/song?id=22483836,Radetzky March Op. 228 (2005 Digital Remaster),Herbert von Karajan,100 Best Karajan
https://music.163.com/song?id=1901432485,III. Allegro vivo (Scherzo),Francesco Senese,Gabriel Fauré: Complete Works for Violin and Piano
https://music.163.com/song?id=38679216,"Sonata for Cello and Piano No. 1 in F Major, Op. 5 No. 1:Allegro",秦立巍,贝多芬大提琴奏鸣曲全集
https://music.163.com/song?id=5216500,"A Midsummer Night's Dream, Incidental Music, Op.61, MWV M 13:No.9 Wedding March",Orchestre Symphonique de Montréal,40 Famous Marches
https://music.163.com/song?id=27698852,Love Theme I,梅林茂,The Grandmaster (Original Score)
https://music.163.com/song?id=1294322,"Auf dem Wasser zu singen, Op.72, D.774 - Auf dem Wasser zu singen, Op.72, D.774",Daniel Hope,The Romantic Violinist - A Celebration of Joseph Joachim
https://music.163.com/song?id=1340441059,Ellen's Third Song “Ave Maria”,Piano 101,"101 Musique piano: Musique classique relaxante, détente et méditation"
https://music.163.com/song?id=465370912,"Violin Concerto in C Major, Hob.VIIa:1:II. Adagio",Augustin Hadelich,"HAYDN, J.: Violin Concertos, Hob. VIIa: 1, 3, 4 (Hadelich)"
https://music.163.com/song?id=20090401,Zi-Zi's Journey,Lindsey Stirling,Lindsey Stirling
https://music.163.com/song?id=1501616,"Suite No. 1, BWV 1007, In G:Courante",Janos Starker,Bach: Suites for Solo Cello
https://music.163.com/song?id=406024467,Mozart : Sonata for Piano Duet in C major K521 : II Andante,Güher & Süher Pekinel,Mozart : Piano Works & Violin Sonatas
https://music.163.com/song?id=25295034,"Serenade in G K.525 ""Eine kleine Nachtmusik"":1. Allegro",Academy of St. Martin in the Fields,Ultimate Mozart: The Essential Masterpieces
https://music.163.com/song?id=1003876,Air,Aage Kvalbein,Til Trost
https://music.163.com/song?id=26090105,春之歌,Felix Mendelssohn,发烧古典珍藏 世界著名华尔兹
https://music.163.com/song?id=1698130,Dinner,马友友,Yo-Yo Ma Plays Ennio Morricone
https://music.163.com/song?id=29155245,"Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"":I. Allegro",Sandor Vegh,Mozart: Serenades & Divertimenti
https://music.163.com/song?id=22530572,"La Traviata (highlights), ACT 2: Pura siccome un angelo...Non sapete quale affetto vio...Dite alla giovine",Aldo Ceccato,Verdi: La Traviata
https://music.163.com/song?id=1585937,Brandenburg Concerto No.3 In G BWV 1048:1. (Allegro),Hedwig Bilgram,J.S. Bach: Brandenburg Concertos Nos. 1 - 6 · Concertos BWV 1055 & 1060
https://music.163.com/song?id=36190693,"Zweiter Mephisto-Walzer ""Mephisto Waltz No.2"", S.515",Franz Liszt,"Liszt: The Complete Music for Solo Piano, Vol.1 - Waltzes"
https://music.163.com/song?id=1698069,Playing Love from The Legend of 1900,马友友,Yo-Yo Ma Plays Ennio Morricone
https://music.163.com/song?id=29150374,"Nocturne, Op.9 No. 2",Ophélie Gaillard,Dreams
https://music.163.com/song?id=5046025,Dietro Casa,Ludovico Einaudi,This Is England
https://music.163.com/song?id=5105895,The Four Seasons (Spring):1. Allegro,Antonio Vivaldi,100 Best Violin
https://music.163.com/song?id=484343995,I See It,MZ92,I See It
https://music.163.com/song?id=117235,"Nocturne,Op.9,No.1",李云迪,Portrait
https://music.163.com/song?id=1067998,"Bagatelle in A minor, WoO 59:""Für Elise""",Alfred Brendel,"Beethoven: Bagatelles Opp.33, 119 & 126; Für Elise; Rondo in C; Allegretto in C minor; Klavierstück in B flat"
https://music.163.com/song?id=25729598,念故乡 - “新世界交响曲”第二乐章,Antonín Dvořák,世界名曲 爱的梦
https://music.163.com/song?id=502455502,Piano Concerto No.1 in E minor Op.11:3. Rondo (Vivace),Claudio Arrau,Ultimate Piano Concertos
https://music.163.com/song?id=29293969,Requiem In D Minor K.626 - Instr. Franz Beyer (Ed. Kunzelmann):Dies irae (Sequenz),Leonard Bernstein,Mozart: Requiem
https://music.163.com/song?id=18565940,To a wild rose,Julian Lloyd Webber,Unexpected Songs
https://music.163.com/song?id=28481839,《塞维利亚理发师》快给忙人让路,G．Rossini,辰山曲目
https://music.163.com/song?id=5055353,"Suite No. 2 in B minor for Flute & Strings, BWV 1067:I. Overture (Instrumental)",Barrington Pheloung,Hilary And Jackie
https://music.163.com/song?id=1003880,Gjendines banlat,Iver Kleive,Til Trost
https://music.163.com/song?id=28592766,"Gabriel Fauré: Berceuse, Op.16",Pierre Amoyal,Fauré: Complete Works for Violin & Piano
https://music.163.com/song?id=25042954,"Canon and Gigue in D Major for 3 Violins and Continuo, P. 37:II. Gigue",Taverner Consort & Players,The Best of Baroque
https://music.163.com/song?id=27598898,Pathetique III,Cuba Percussion,Classic Meets Cuba
https://music.163.com/song?id=25042955,"Abdelazer or The Moor's Revenge, Z. 570:II. Rondeau",Andrew Parrott,The Best of Baroque
https://music.163.com/song?id=25901795,"Le nozze di Figaro, Overture K.492",Sir Colin Davis,Mozart: 3 Overtures / Serenades Nos. 9 & 13
https://music.163.com/song?id=1004124,VÅRSØG,Aage Kvalbein,Sanger fra en cello
https://music.163.com/song?id=1410664,Rhapsody in Blue,George Gershwin,Manhattan
https://music.163.com/song?id=1644716,"Toccata and Fugue in D minor, BWV 565:Toccata",Karl Richter,Bach: Organ Works
https://music.163.com/song?id=2852194,"Concerto for 2 Violins, Strings, and Continuo in D minor, BWV 1043:2. Largo ma non tanto",Julia Fischer, Bach: Violin Concertos
https://music.163.com/song?id=5195111,Winter Light,Sarah Brightman,天籁美声2
https://music.163.com/song?id=31260307,Liebesleid,马友友,Yo-Yo Ma Impressions
https://music.163.com/song?id=29561577,Beloved,Michael Hoppé,Rarities Vol.1
https://music.163.com/song?id=1351687036,10. 岚山夜 - Take Me Away,废铁,Impression of Landscape
https://music.163.com/song?id=22455080,Capricho Arabe,Christopher Parkening,In The Spanish Style
https://music.163.com/song?id=2640823,Marching Through Georgia,Goldmund,Corduroy Road
